Presidente,256785,José,(75) 2317-8035,true,93j0E8
Vice-Presidente,265981,Gil,(34) 2185-2674,false,Q3ue05
Diretor,121156,Carla,(27) 3150-8018,Esportes,z9Z079
Conselheiro,267859,Nicolas,(83) 3414-1476,Esportes,yZ12z0
Membro,365478,Bruno,(94) 2786-6205,Esportes,2Tr53l
Membro,241591,Lucca,(48) 3660-4712,Esportes,91rHc7
Membro,258963,Rebecca,(19) 3550-6335,Esportes,7446Lt
Membro,247538,Giuliano,(63) 2631-1827,Esportes,73Ekp0
Membro,124589,Pedro,(97) 2647-4821,Esportes,23I3Kz
Diretor,263859,Luiz,(65) 2327-9130,Eventos,7W47Bz
Conselheiro,552215,Eliel,(63) 2294-6182,Eventos,8H720a
Membro,445863,Bruna,(98) 2426-2844,Eventos,70Q10s
Membro,785963,Laura,(63) 2290-2518,Eventos,0eeQ68
Membro,236571,Victor,(87) 2128-7726,Eventos,wG814W
Membro,452861,Matheus,(88) 3714-1751,Eventos,sW2V19
Membro,758962,Julia,(15) 2144-4624,Eventos,213Qvg
Diretor,663914,Maria,(97) 2868-2247,Financeiro,0s1Y45
Conselheiro,124571,João,(84) 2189-1852,Financeiro,h2y8I4
Membro,563215,Marquinhos,(22) 3481-6242,Financeiro,E4u221
Membro,112245,Dilson,(66) 3173-5253,Financeiro,72aND3
Membro,458862,Neto,(97) 2851-7714,Financeiro,4Sz02t
Membro,412278,Cuca,(92) 3500-0314,Financeiro,1kB63n
Membro,785594,Nathalia,(49) 2330-5896,Financeiro,1kB63n
Diretor,225596,Gabriel,(82) 3895-6791,Social,tK2D95
Conselheiro,244781,Kelly,(79) 2458-6522,Social,tE6404
Membro,337782,Giovanna,(11) 3375-1987,Social,y54xX1
Membro,249967,Roberta,(65) 3341-0122,Social,7E81jm
Membro,232315,Ana Clara,(49) 3888-1111,Social,2wnS55
Membro,444896,João Pedro,(99) 2786-5677,Social,t8dG86
Membro,124851,Arthur,(64) 3876-9857,Social,xQ239t
Diretor,252589,Robert Renan,(28) 3133-2899,Produtos,08XEy0
Conselheiro,241599,Robson Bambu,(41) 3948-4342,Produtos,R333Rh
Membro,299881,Marta,(63) 3926-6795,Produtos,L8u909
Membro,275963,Lara,(96) 3219-7553,Produtos,81R18m
Membro,211277,Robison,(37) 2887-4727,Produtos,ST10k5
Membro,755596,Daniel,(96) 2833-5324,Produtos,3V74Ff
Membro,238316,Vitor,(15) 2647-8423,Produtos,123456
